"Year of death recode","Age at death with <1 yr olds and 90+","Age-Adjusted Rate","Standard Error","Lower Confidence Interval","Upper Confidence Interval","Count","Population"
"2023","10-14 years",0.0000,~,0.0000,0.0660,0,5587392
"2023","15-19 years",0.0000,~,0.0000,0.0626,0,5893775
"2023","20-24 years",0.0000,~,0.0000,0.0637,0,5790891
"2023","25-29 years",0.0168,0.0168,0.0004,0.0934,1,5965887
"2023","30-34 years",0.0155,0.0155,0.0004,0.0863,1,6452492
"2023","35-39 years",0.0490,0.0283,0.0101,0.1431,3,6127682
"2023","40-44 years",0.2028,0.0585,0.1048,0.3542,12,5917574
"2023","45-49 years",0.2622,0.0701,0.1433,0.4399,14,5339625
"2023","50-54 years",0.3472,0.0796,0.2090,0.5421,19,5473033
"2023","55-59 years",0.6346,0.1088,0.4395,0.8868,34,5357839
"2023","60-64 years",0.8194,0.1235,0.5954,1.1001,44,5369457
"2023","65-69 years",0.9271,0.1398,0.6736,1.2446,44,4745864
"2023","70-74 years",1.5492,0.2017,1.1793,1.9984,59,3808399
"2023","75-79 years",2.1516,0.2778,1.6419,2.7695,60,2788675
"2023","80-84 years",2.0573,0.3478,1.4330,2.8612,35,1701242
"2023","85-89 years",3.1707,0.5789,2.1392,4.5263,30,946168
"2023","90+ years",3.0959,0.7103,1.8639,4.8347,19,613712
