"Year of diagnosis","Age recode with <1 year olds and 90+","Sex","Age-Adjusted Rate","Count","Population"
2021,80-84 years,Male and female,2.2,34,1540691
2021,80-84 years,Male,2.3,15,655256
2021,80-84 years,Female,2.1,19,885435
2021,85-89 years,Male and female,0.8,7,914049
2021,85-89 years,Male,0.3,1,358739
2021,85-89 years,Female,1.1,6,555310
2021,90+ years,Male and female,1.2,7,598408
2021,90+ years,Male,0.5,1,192482
2021,90+ years,Female,1.5,6,405926
2021,Unknown,Male and female,~,0,0
2021,Unknown,Male,~,0,0
2021,Unknown,Female,~,0,0
2022,00 years,Male and female,0.0,0,977010
2022,00 years,Male,0.0,0,499430
2022,00 years,Female,0.0,0,477580
2022,01-04 years,Male and female,0.0,0,3971856
2022,01-04 years,Male,0.0,0,2032021
2022,01-04 years,Female,0.0,0,1939835
2022,05-09 years,Male and female,0.0,0,5419401
2022,05-09 years,Male,0.0,0,2772489
2022,05-09 years,Female,0.0,0,2646912
2022,10-14 years,Male and female,0.0,0,5679002
2022,10-14 years,Male,0.0,0,2908509
2022,10-14 years,Female,0.0,0,2770493
2022,15-19 years,Male and female,0.0,0,5813090
2022,15-19 years,Male,0.0,0,2972306
2022,15-19 years,Female,0.0,0,2840784
2022,20-24 years,Male and female,0.1,5,5729176
2022,20-24 years,Male,0.1,4,2936531
2022,20-24 years,Female,0.0,1,2792645
2022,25-29 years,Male and female,0.2,10,5998404
2022,25-29 years,Male,0.2,7,3059917
2022,25-29 years,Female,0.1,3,2938487
2022,30-34 years,Male and female,0.2,13,6403269
2022,30-34 years,Male,0.1,4,3253138
2022,30-34 years,Female,0.3,9,3150131
2022,35-39 years,Male and female,0.6,34,6085031
2022,35-39 years,Male,0.4,13,3094064
2022,35-39 years,Female,0.7,21,2990967
2022,40-44 years,Male and female,0.8,47,5814790
2022,40-44 years,Male,0.8,23,2929460
2022,40-44 years,Female,0.8,24,2885330
2022,45-49 years,Male and female,0.9,47,5302917
2022,45-49 years,Male,0.6,15,2649343
2022,45-49 years,Female,1.2,32,2653574
2022,50-54 years,Male and female,1.7,96,5529381
2022,50-54 years,Male,1.2,33,2763211
2022,50-54 years,Female,2.3,63,2766170
2022,55-59 years,Male and female,1.8,96,5462308
2022,55-59 years,Male,1.2,32,2702102
2022,55-59 years,Female,2.3,64,2760206
2022,60-64 years,Male and female,1.7,91,5366866
2022,60-64 years,Male,1.6,41,2620699
2022,60-64 years,Female,1.8,50,2746167
2022,65-69 years,Male and female,2.4,111,4654533
2022,65-69 years,Male,2.0,45,2215654
2022,65-69 years,Female,2.7,66,2438879
2022,70-74 years,Male and female,2.9,110,3732300
2022,70-74 years,Male,3.3,57,1724292
2022,70-74 years,Female,2.6,53,2008008
2022,75-79 years,Male and female,3.1,81,2654198
2022,75-79 years,Male,3.3,39,1193743
2022,75-79 years,Female,2.9,42,1460455
2022,80-84 years,Male and female,3.0,48,1601019
2022,80-84 years,Male,3.1,21,681189
2022,80-84 years,Female,2.9,27,919830
2022,85-89 years,Male and female,2.6,24,921012
2022,85-89 years,Male,3.3,12,363066
2022,85-89 years,Female,2.2,12,557946
2022,90+ years,Male and female,1.7,10,602716
2022,90+ years,Male,3.0,6,197788
2022,90+ years,Female,1.0,4,404928
2022,Unknown,Male and female,~,0,0
2022,Unknown,Male,~,0,0
2022,Unknown,Female,~,0,0
2023,00 years,Male and female,0.0,0,962527
2023,00 years,Male,0.0,0,492566
2023,00 years,Female,0.0,0,469961
2023,01-04 years,Male and female,0.0,0,3941681
2023,01-04 years,Male,0.0,0,2015162
2023,01-04 years,Female,0.0,0,1926519
2023,05-09 years,Male and female,0.0,0,5377051
2023,05-09 years,Male,0.0,0,2751637
2023,05-09 years,Female,0.0,0,2625414
2023,10-14 years,Male and female,0.0,0,5587392
2023,10-14 years,Male,0.0,0,2860388
2023,10-14 years,Female,0.0,0,2727004
2023,15-19 years,Male and female,0.0,2,5893775
2023,15-19 years,Male,0.0,1,3015769
2023,15-19 years,Female,0.0,1,2878006
2023,20-24 years,Male and female,0.0,2,5790891
2023,20-24 years,Male,0.0,1,2968758
2023,20-24 years,Female,0.0,1,2822133
2023,25-29 years,Male and female,0.1,7,5965887
2023,25-29 years,Male,0.1,3,3039267
2023,25-29 years,Female,0.1,4,2926620
2023,30-34 years,Male and female,0.2,13,6452492
2023,30-34 years,Male,0.2,6,3275515
2023,30-34 years,Female,0.2,7,3176977
2023,35-39 years,Male and female,0.6,34,6127682
2023,35-39 years,Male,0.7,21,3115852
2023,35-39 years,Female,0.4,13,3011830
2023,40-44 years,Male and female,0.8,48,5917574
2023,40-44 years,Male,0.6,18,2984008
2023,40-44 years,Female,1.0,30,2933566
2023,45-49 years,Male and female,1.1,57,5339625
2023,45-49 years,Male,0.9,25,2668307
2023,45-49 years,Female,1.2,32,2671318
2023,50-54 years,Male and female,1.5,81,5473033
2023,50-54 years,Male,1.5,42,2729678
2023,50-54 years,Female,1.4,39,2743355
2023,55-59 years,Male and female,1.9,102,5357839
2023,55-59 years,Male,1.5,39,2652477
2023,55-59 years,Female,2.3,63,2705362
2023,60-64 years,Male and female,2.6,138,5369457
2023,60-64 years,Male,2.2,57,2621421
2023,60-64 years,Female,2.9,81,2748036
2023,65-69 years,Male and female,3.0,141,4745864
2023,65-69 years,Male,2.7,62,2263498
2023,65-69 years,Female,3.2,79,2482366
2023,70-74 years,Male and female,3.2,122,3808399
2023,70-74 years,Male,3.0,53,1759677
2023,70-74 years,Female,3.4,69,2048722
2023,75-79 years,Male and female,3.4,95,2788675
2023,75-79 years,Male,3.6,45,1255675
2023,75-79 years,Female,3.3,50,1533000
2023,80-84 years,Male and female,2.9,50,1701242
2023,80-84 years,Male,3.2,23,726324
2023,80-84 years,Female,2.8,27,974918
2023,85-89 years,Male and female,2.1,20,946168
2023,85-89 years,Male,1.9,7,374582
2023,85-89 years,Female,2.3,13,571586
2023,90+ years,Male and female,1.0,6,613712
2023,90+ years,Male,2.4,5,205984
2023,90+ years,Female,0.2,1,407728
2023,Unknown,Male and female,~,0,0
2023,Unknown,Male,~,0,0
2023,Unknown,Female,~,0,0
