"Year of diagnosis","Age recode with <1 year olds and 90+","Age-Adjusted Rate","Count","Population"
"2020","65-69 years",2.4,34,1421192
"2020","70-74 years",1.4,16,1135849
"2020","75-79 years",1.6,12,738379
"2020","80-84 years",2.8,13,466364
"2020","85-89 years",~,0,0
"2020","90+ years",~,0,0
"2020","Unknown",~,0,0
"2021","00 years",~,0,0
"2021","01-04 years",~,0,0
"2021","05-09 years",~,0,0
"2021","10-14 years",~,0,0
"2021","15-19 years",~,0,0
"2021","20-24 years",0.0,0,1780900
"2021","25-29 years",0.3,5,1928754
"2021","30-34 years",0.0,1,2020341
"2021","35-39 years",0.2,3,1970972
"2021","40-44 years",0.5,9,1838723
"2021","45-49 years",0.4,7,1668075
"2021","50-54 years",0.8,14,1721423
"2021","55-59 years",1.1,19,1723785
"2021","60-64 years",1.4,23,1675558
"2021","65-69 years",2.1,31,1449120
"2021","70-74 years",1.9,23,1192287
"2021","75-79 years",1.8,14,765416
"2021","80-84 years",2.1,10,480398
"2021","85-89 years",~,0,0
"2021","90+ years",~,0,0
"2021","Unknown",~,0,0
"2022","00 years",~,0,0
"2022","01-04 years",~,0,0
"2022","05-09 years",~,0,0
"2022","10-14 years",~,0,0
"2022","15-19 years",~,0,0
"2022","20-24 years",0.1,1,1800751
"2022","25-29 years",0.1,2,1915024
"2022","30-34 years",0.4,9,2047922
"2022","35-39 years",0.6,12,1967783
"2022","40-44 years",0.9,16,1874402
"2022","45-49 years",1.0,16,1665980
"2022","50-54 years",1.8,31,1716465
"2022","55-59 years",2.4,40,1680191
"2022","60-64 years",1.9,32,1673252
"2022","65-69 years",2.7,40,1472638
"2022","70-74 years",2.9,35,1195278
"2022","75-79 years",3.3,28,842561
"2022","80-84 years",3.6,18,502020
"2022","85-89 years",~,0,0
"2022","90+ years",~,0,0
"2022","Unknown",~,0,0
"2023","00 years",~,0,0
"2023","01-04 years",~,0,0
"2023","05-09 years",~,0,0
"2023","10-14 years",~,0,0
"2023","15-19 years",~,0,0
"2023","20-24 years",0.1,1,1829508
"2023","25-29 years",0.1,2,1917770
"2023","30-34 years",0.2,5,2070587
"2023","35-39 years",0.7,13,1978265
"2023","40-44 years",0.7,14,1910329
"2023","45-49 years",1.2,20,1687527
"2023","50-54 years",1.8,30,1701833
"2023","55-59 years",1.9,32,1646136
"2023","60-64 years",2.3,39,1672153
"2023","65-69 years",3.3,49,1496534
"2023","70-74 years",3.5,43,1221254
"2023","75-79 years",4.7,42,889103
"2023","80-84 years",4.1,22,536357
"2023","85-89 years",~,0,0
"2023","90+ years",~,0,0
"2023","Unknown",~,0,0
