age_group,analysis,years,cases_total,apc_percent_wls,apc_lcl,apc_ucl
20-49,ibm,2004-2023,630.0,1.0909604843259535,-0.14519594573813022,2.3424199609891394
50-64,ibm,2004-2023,1588.0,2.8548506183644795,1.857057733180567,3.8624178938938547
65+,ibm,2004-2023,3007.0,4.137323184640929,3.352393782069707,4.928213882780397
