age_group,sex,cases_base,rate_base_per_100k,cases_recent,rate_recent_per_100k,rr,rr_lcl,rr_ucl
20-49,Female,201,0.23624358316589816,337,0.38623786577012414,1.6349136793226462,1.3728839613188228,1.9469545964166004
20-49,Male,188,0.2177498210687175,305,0.3394247916068106,1.5587833319031519,1.2997416751812167,1.8694526167904215
50-64,Female,360,1.0428787416207952,692,1.6631108059831516,1.59473075786205,1.404016586436342,1.8113505314964278
50-64,Male,320,0.9828082874571734,548,1.3480270578549354,1.3716073369127715,1.194930003570041,1.5744074389732001
65+,Female,342,1.311066416439546,857,2.254558726953549,1.7196373110343552,1.5170269639962455,1.949307791940333
65+,Male,315,1.6407009678729396,731,2.3540272075952835,1.4347691954172026,1.2572193739809232,1.6373933513288057
<20,Female,3,0.005468099979614923,2,0.00371298561767595,0.6790266512166859,0.11345807169490219,4.06385536237933
<20,Male,1,0.0017341735936207661,2,0.003543999345494201,2.043624328343459,0.18530075247097474,22.53849668555145
