age_group,cases_recent,population_recent,rate_per_100k_recent,cases_base,population_base,rate_per_100k_base,rate_ratio,rate_ratio_lcl,rate_ratio_ucl
20-49,158,177109835,0.08921017853130517,130,171419290,0.0758374392986927,1.1763342665084286,0.93268791051244,1.4836284366564292
50-64,477,82260776,0.5798632388296459,237,67079591,0.3533116354272345,1.6412231601952727,1.4044926004849927,1.9178552173441228
65+,1144,69065040,1.656409668335818,383,45284746,0.8457594086980195,1.9584880183428657,1.7444944646640017,2.1987317218179507
