cohort,hist_group,outcome,apc_percent_poisson,apc_lcl,apc_ucl,apc_p,apc_lcl_quasi,apc_ucl_quasi,apc_p_quasi,pearson_dispersion,cases_total,model_iterations
age20_49,Conventional/intestinal adenocarcinoma,histology,3.4723149441088674,2.00479991825111,4.960942705375593,2.817946822331052e-06,2.00479991825111,4.960942705375593,2.817946822331052e-06,1.0,582.0,5
age20_49,Mucinous-type adenocarcinoma,histology,4.015275713165045,3.0199774168514493,5.0201898017111946,8.881784197001252e-16,2.2775953898909185,5.782478952913506,4.64895565510659e-06,3.0702041935697766,1295.0,5
age20_49,Signet-ring cell carcinoma,histology,-4.193143529558574,-6.628896763752145,-1.6938492895050672,0.001113239196405047,-7.539441221715415,-0.7257378926467828,0.018198182291992104,1.90588550207603,180.0,5
all_ages,Conventional/intestinal adenocarcinoma,histology,4.457029271747381,3.8505801292640696,5.067019853883337,0.0,3.7285337296391496,5.190641108628036,0.0,1.4446916639244716,3609.0,5
all_ages,Mucinous-type adenocarcinoma,histology,4.748016540872069,4.2627782874002484,5.235513089840138,0.0,3.053620485992936,6.470271665401084,2.4742048854164977e-08,12.336074846088085,5707.0,5
all_ages,Signet-ring cell carcinoma,histology,-1.1163341484374367,-2.268801806198739,0.049723659928080366,0.06053344867526489,-3.0205929098050976,0.8253160709628782,0.25782926708123766,2.7513093234867627,847.0,4
