cohort,hist_group,cases_recent,population_recent,rate_per_100k_recent,cases_base,population_base,rate_per_100k_base,rate_ratio,rate_ratio_lcl,rate_ratio_ucl
age20_49,Conventional/intestinal adenocarcinoma,179,177109835,0.10106722757660522,102,171419290,0.05950322160358965,1.698516901318636,1.3318923904892357,2.1660606252171375
age20_49,Mucinous-type adenocarcinoma,444,177109835,0.2506918941006297,239,171419290,0.13942421532605812,1.798051317802725,1.5364257658237503,2.1042269749484173
age20_49,Signet-ring cell carcinoma,19,177109835,0.010727806279081,48,171419290,0.02800151604874807,0.38311519492033486,0.22522260047269785,0.6516985962811445
all_ages,Conventional/intestinal adenocarcinoma,1264,438734078,0.2881016231431195,573,396311645,0.14458318528591307,1.9926357451137826,1.8053393223130079,2.199363390378056
all_ages,Mucinous-type adenocarcinoma,2047,438734078,0.4665696381123146,980,396311645,0.2472801423738129,1.886805926401491,1.748484419513869,2.0360699610315
all_ages,Signet-ring cell carcinoma,163,438734078,0.03715234538950038,177,396311645,0.044661821632821314,0.8318591591480825,0.6724251764709603,1.0290954070016731
