outcome,age_group,apc_percent_poisson,apc_lcl,apc_ucl,apc_p,apc_lcl_quasi,apc_ucl_quasi,apc_p_quasi,pearson_dispersion,cases_total,model_iterations,slope_ratio_vs_20_49,interaction_p_vs_20_49,interaction_p_vs_20_49_quasi
ibm,20-49,1.0587877011938085,-0.3032922980762631,2.4394767595509625,0.12819404983342264,-0.35044251203493193,2.4879470525335456,0.1415572370807221,1.0709362748991382,630.0,8,1.0,,
ibm,50-64,2.907741926441987,2.002219600540789,3.8213030056753583,2.0667645372896004e-10,1.97079676535723,3.853296084050495,8.139819929198211e-10,1.0709362748991382,1588.0,8,1.0182958282728967,0.028210804152650537,0.03397035918735347
ibm,65+,4.137553456396059,3.4646750469977228,4.814807903834706,0.0,3.4412967505346614,4.838496621299293,0.0,1.0709362748991382,3007.0,8,1.030465096853382,9.181096749855122e-05,0.0001571328699410124
