age_group,sex,apc,apc_lcl,apc_ucl,pearson_dispersion,cases_total
20-49,Male,3.0010575214683533,1.8109461137740146,4.205080647075055,1.1014895034594612,963
20-49,Female,3.203478935666215,2.0835104680859917,4.335734690023951,1.1014895034594612,1094
20-49,interaction_p,0.8092503782498384,,,1.1014895034594612,2057
50-64,Male,2.231938085912022,0.8875765878580744,3.5942136611851305,2.4883563303555167,1747
50-64,Female,3.2815698462269838,2.025297723715247,4.55331087381432,2.4883563303555167,2070
50-64,interaction_p,0.2667543686067999,,,2.4883563303555167,3817
65+,Male,2.4675853388086866,1.306046875099609,3.642441582100453,2.154668795815497,2039
65+,Female,3.945140080094167,2.813864637950436,5.088863105358166,2.154668795815497,2240
65+,interaction_p,0.07577917293223102,,,2.154668795815497,4279
